
"NUmero Licencia",2020-04-28,,QRO,A,Juan
"NUmero Licencia",2020-04-28,,QRO,A,Juan
"NUmero Licencia",2020-04-28,,QRO,A,Juan
"NUmero Licencia",2020-04-28,,QRO,A,Juan
"NUmero Licencia",2020-04-28,,QRO,A,Juan
"NUmero Licencia",2020-04-28,,QRO,A,Juan
"NUmero Licencia",2020-04-28,,QRO,A,Juan
NM,2020-05-11,2020-05-12,QRO,B,CONDUCTOR
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
Numero,2020-05-07,2020-05-28,QRO,TIPO,Conductor
